unit_count,start_class,feature_group,feature_name,loose_sample_count,formed_reference_sample_count,loose_mean,formed_reference_mean,formed_reference_std,effective_reference_std,std_floor_used,signed_z_deviation,abs_z_deviation
8,angular_randomized_loose_initial,geometric,radius_of_gyration_A,25,25,20.603541,13.285512,0.040800,0.040800,false,179.361275,179.361275
8,angular_randomized_loose_initial,geometric,radial_extent_A,25,25,33.168735,21.198644,0.401349,0.401349,false,29.824637,29.824637
8,angular_randomized_loose_initial,geometric,axial_extent_A,25,25,44.020765,33.862105,0.346046,0.346046,false,29.356365,29.356365
8,angular_randomized_loose_initial,geometric,helical_axis_alignment_score,25,25,0.194308,0.737242,0.260463,0.260463,false,-2.084497,2.084497
8,angular_randomized_loose_initial,contact_recovery,contact_fraction_vs_target,25,25,0.006372,0.805229,0.036409,0.036409,false,-21.941022,21.941022
8,angular_randomized_loose_initial,contact_recovery,CYP_MEP_contact_fraction_vs_target,25,25,0.006251,0.807490,0.034290,0.034290,false,-23.366761,23.366761
8,angular_randomized_loose_initial,contact_recovery,backbone_contact_fraction_vs_target,25,25,0.007527,0.776129,0.100004,0.100004,false,-7.685691,7.685691
8,angular_randomized_loose_initial,register_phase,axial_register_score,25,25,0.400116,0.888133,0.035946,0.035946,false,-13.576543,13.576543
8,angular_randomized_loose_initial,register_phase,angular_phase_order_score,25,25,0.580103,0.944272,0.027630,0.027630,false,-13.180375,13.180375
8,angular_randomized_loose_initial,register_phase,refined_angular_phase_score,25,25,0.721118,0.992092,0.006879,0.006879,false,-39.392766,39.392766
8,axially_misregistered,geometric,RMSD_to_formed_seed_A,25,25,16.717200,0.650877,0.087003,0.087003,false,184.664662,184.664662
8,axially_misregistered,geometric,compactness_score,25,25,0.598264,0.998300,0.002149,0.002149,false,-186.169133,186.169133
8,axially_misregistered,geometric,radius_of_gyration_A,25,25,22.217691,13.285512,0.040800,0.040800,false,218.923298,218.923298
8,axially_misregistered,geometric,radial_extent_A,25,25,32.468256,21.198644,0.401349,0.401349,false,28.079326,28.079326
8,axially_misregistered,geometric,axial_extent_A,25,25,56.971715,33.862105,0.346046,0.346046,false,66.781852,66.781852
8,axially_misregistered,geometric,helical_axis_alignment_score,25,25,0.156801,0.737242,0.260463,0.260463,false,-2.228498,2.228498
8,axially_misregistered,contact_recovery,contact_fraction_vs_target,25,25,0.002892,0.805229,0.036409,0.036409,false,-22.036613,22.036613
