structure_id,source_pdb,distance_window,window_type,atom_pair_class,residue_pair_class,chain_relation,pair_count,fraction_of_window,backbone_involving
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_scaffold_linker,CYP_MEP_vs_GLU,same_chain,312,0.024758,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_scaffold_linker,GLU_vs_GLU,interchain,558,0.044279,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_scaffold_linker,GLU_vs_GLU,same_chain,180,0.014283,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_6p5_7p5,exploratory_guessed,base_like_vs_base_like,CYP_MEP_vs_CYP_MEP,interchain,4740,0.376131,no
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_6p5_7p5,exploratory_guessed,base_like_vs_base_like,CYP_MEP_vs_CYP_MEP,same_chain,684,0.054277,no
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_6p5_7p5,exploratory_guessed,base_like_vs_scaffold_linker,CYP_MEP_vs_GLU,interchain,117,0.009284,no
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_6p5_7p5,exploratory_guessed,base_like_vs_scaffold_linker,CYP_MEP_vs_GLU,same_chain,284,0.022536,no
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_6p5_7p5,exploratory_guessed,scaffold_linker_vs_scaffold_linker,GLU_vs_GLU,interchain,240,0.019045,no
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_6p5_7p5,exploratory_guessed,scaffold_linker_vs_scaffold_linker,GLU_vs_GLU,same_chain,36,0.002857,no
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_7p8_9p0,exploratory_guessed,backbone_like_vs_backbone_like,CYP_MEP_vs_CYP_MEP,interchain,351,0.018949,yes
