model_id,d_A,intensity
angle27_cand13,4.636466606134514,3787861.27323729
angle27_cand13,4.54477327446784,4746160.29846282
angle27_cand13,4.456749578865149,4692713.454766067
angle27_cand13,4.37218168254452,4830902.692768622
angle27_cand13,4.290872039870627,5282289.209680464
angle27_cand13,4.212637873829762,3192681.771951609
angle27_cand13,4.137309821122427,2954567.273063045
angle27_cand13,4.064730723732543,2578141.419177628
angle27_cand13,3.99475454882572,2982409.7352679092
angle27_cand13,3.927245421353911,2763913.498132159
angle27_cand13,3.862076755880224,2679834.973640825
angle27_cand13,3.7991304759509172,2784739.546520713
angle27_cand13,3.7382963108851506,3242989.5722060166
angle27_cand13,3.6794711611707145,3058428.6615433223
angle27_cand13,3.6225585247818612,2557164.249197196
angle27_cand13,3.5674679777034064,2812941.3963221046
angle27_cand13,3.5141147027782615,2882414.467932393
