rise_label,twist_deg,candidate_id,source_pdb,dest_pdb,status,kept_atoms,removed_atoms
rise3p38,20,cand46,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand46\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand46\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand47,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand47\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand47\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand48,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand48\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand48\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand49,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand49\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand49\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand5,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand5\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand5\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand50,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand50\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand50\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand51,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand51\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand51\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand52,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand52\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand52\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand53,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand53\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand53\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand54,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand54\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand54\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand55,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand55\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand55\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand56,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand56\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand56\initial.pdb,glu_ablated,2364,1446
