bin_index,r_min_mm,r_max_mm,r_center_mm,radius_mm,two_theta_deg,q_center_inv_angstrom,q_Ainv,d_center_angstrom,d_A,mean_intensity,intensity_mean,intensity_sum,intensity_total,pixel_count,sample_count
184,108.42303978193729,109.01229543292608,108.71766760743168,108.71766760743168,17.810638431429528,2.510389252632744,2.510389252632744,2.502872931195894,2.502872931195894,1036456.6156825048,1036456.6156825048,8291652.925460039,8291652.925460039,8,8
185,109.01229543292608,109.60155108391487,109.30692325842048,109.30692325842048,17.901027446102354,2.5230259425696264,2.5230259425696264,2.4903371785310897,2.4903371785310897,733295.911562146,733295.911562146,5866367.292497168,5866367.292497168,8,8
187,110.19080673490366,110.78006238589245,110.48543456039806,110.48543456039806,18.081529088349942,2.548255977330713,2.548255977330713,2.465680592167666,2.465680592167666,735030.9990207043,735030.9990207043,5880247.992165634,5880247.992165634,8,8
188,110.78006238589245,111.36931803688124,111.07469021138684,111.07469021138684,18.171641103608188,2.5608492305717654,2.5608492305717654,2.4535553410056585,2.4535553410056585,498768.0683577374,498768.0683577374,3990144.546861899,3990144.546861899,8,8
192,113.13708498984761,113.7263406408364,113.431712815342,113.431712815342,18.53115676326777,2.6110760998878915,2.6110760998878915,2.4063585536435954,2.4063585536435954,1208725.1804796283,1208725.1804796283,24174503.609592564,24174503.609592564,20,20
194,114.31559629182519,114.90485194281398,114.61022411731958,114.61022411731958,18.710351012353243,2.636101231597244,2.636101231597244,2.383514423447438,2.383514423447438,447576.43444781273,447576.43444781273,3580611.475582502,3580611.475582502,8,8
197,116.08336324479156,116.67261889578035,116.37799107028596,116.37799107028596,18.978431394817388,2.673527582206829,2.673527582206829,2.350147927777581,2.350147927777581,1559785.6204085785,1559785.6204085785,12478284.963268628,12478284.963268628,8,8
200,117.85113019775793,118.44038584874671,118.14575802325231,118.14575802325231,19.245651815040098,2.7108193129768186,2.7108193129768186,2.3178178188054384,2.3178178188054384,462634.5677243873,462634.5677243873,3701076.541795098,3701076.541795098,8,8
201,118.44038584874671,119.0296414997355,118.73501367424112,118.73501367424112,19.334532894526667,2.7232197835237497,2.7232197835237497,2.307263389166984,2.307263389166984,725479.0858451119,725479.0858451119,5803832.686760895,5803832.686760895,8,8
203,119.6188971507243,120.20815280171308,119.9135249762187,119.9135249762187,19.512004835553878,2.7479753251410934,2.7479753251410934,2.286478066122002,2.286478066122002,903778.8801471653,903778.8801471653,7230231.041177322,7230231.041177322,8,8
208,122.56517540566824,123.15443105665703,122.85980323116263,122.85980323116263,19.953979408679444,2.8095975348084243,2.8095975348084243,2.23632930671973,2.23632930671973,706243.3531270046,706243.3531270046,8474920.237524055,8474920.237524055,12,12
210,123.74368670764582,124.33294235863461,124.03831453314021,124.03831453314021,20.130081700473493,2.8341389657387253,2.8341389657387253,2.216964440747477,2.216964440747477,450463.57792935154,450463.57792935154,3603708.6234348123,3603708.6234348123,8,8
216,127.27922061357856,127.86847626456735,127.57384843907295,127.57384843907295,20.656005381943388,2.9073910668570813,2.9073910668570813,2.161107729470935,2.161107729470935,625181.2118967315,625181.2118967315,5001449.695173852,5001449.695173852,8,8
217,127.86847626456735,128.45773191555614,128.16310409006175,128.16310409006175,20.74330925148999,2.9195451052984103,2.9195451052984103,2.152111058594991,2.152111058594991,659068.904806198,659068.904806198,5272551.238449584,5272551.238449584,8,8
223,131.4040101705001,131.99326582148888,131.6986379959945,131.6986379959945,21.265010914411565,2.9921384189997013,2.9921384189997013,2.0998979416467343,2.0998979416467343,900147.6980447853,900147.6980447853,900147.6980447853,900147.6980447853,1,1
224,131.99326582148888,132.58252147247765,132.28789364698326,132.28789364698326,21.35160551432102,3.0041818522044976,3.0041818522044976,2.091479682752535,2.091479682752535,720176.4230407841,720176.4230407841,7921940.653448625,7921940.653448625,11,11
232,136.7073110293992,137.29656668038797,137.00193885489358,137.00193885489358,22.040665422866724,3.09995345350457,3.09995345350457,2.0268644034239602,2.0268644034239602,616578.0708889018,616578.0708889018,4932624.567111215,4932624.567111215,8,8
239,140.83210058632073,141.4213562373095,141.12672841181512,141.12672841181512,22.638145289545964,3.1829058469297116,3.1829058469297116,1.974040580949154,1.974040580949154,346020.3732841704,346020.3732841704,1384081.4931366816,1384081.4931366816,4,4
